temp,core freq,arm freq,volt,sec
59.0,500.000992,1500.345728,0.8563,952
59.0,199.99512,600.117184,0.835,954
58.0,500.000992,1500.345728,0.8563,956
58.0,500.000992,1500.398464,0.8563,958
59.0,199.99512,750.199232,0.8563,960
58.0,199.99512,600.117184,0.835,962
58.0,500.000992,1500.345728,0.8563,964
58.0,500.000992,1500.398464,0.8563,966
57.0,199.99512,600.16992,0.835,968
58.0,500.000992,1500.345728,0.8563,970
58.0,500.000992,1500.398464,0.8563,972
59.0,199.99512,600.16992,0.835,974
58.0,500.000992,1500.345728,0.8563,976
58.0,499.987808,1500.398464,0.8563,978
58.0,500.000992,1500.345728,0.8563,980
58.0,200.008304,750.199232,0.8563,982
59.0,500.000992,1500.345728,0.8563,984
59.0,500.000992,1500.345728,0.8563,986
59.0,500.000992,1500.345728,0.8563,988
59.0,500.000992,1500.345728,0.8563,990
59.0,500.000992,1500.398464,0.8563,992
58.0,500.000992,1500.345728,0.8563,994
58.0,500.000992,1500.398464,0.8563,996
58.0,500.000992,1500.398464,0.8563,998
58.0,200.008304,600.16992,0.835,1000
59.0,500.000992,1500.398464,0.8563,1002
59.0,500.000992,1500.398464,0.8563,1004
59.0,199.99512,600.16992,0.835,1006
57.0,200.008304,600.16992,0.835,1008
58.0,500.000992,1500.398464,0.8563,1010
59.0,500.000992,1500.345728,0.8563,1012
58.0,199.99512,750.146496,0.8563,1014
58.0,200.008304,600.117184,0.835,1016
58.0,199.99512,600.16992,0.835,1018
58.0,500.000992,1500.398464,0.8563,1020
58.0,500.000992,1500.345728,0.8563,1022
58.0,200.008304,600.117184,0.835,1024
58.0,199.99512,600.16992,0.835,1026
57.0,500.000992,1500.398464,0.8563,1028
58.0,499.987808,1500.398464,0.8563,1030
58.0,199.99512,600.16992,0.835,1032
58.0,499.987808,1500.345728,0.8563,1034
59.0,500.000992,1500.398464,0.8563,1036
59.0,199.99512,600.117184,0.835,1038
58.0,500.000992,1500.345728,0.8563,1040
59.0,500.000992,1500.345728,0.8563,1042
58.0,199.99512,600.117184,0.835,1044
59.0,500.000992,1500.345728,0.8563,1046
59.0,499.987808,1500.398464,0.8563,1048
58.0,199.99512,600.117184,0.835,1050
58.0,250.000496,750.199232,0.8563,1052
58.0,500.000992,1500.398464,0.8563,1054
57.0,500.000992,1500.398464,0.8563,1056
57.0,199.99512,600.117184,0.835,1058
59.0,500.000992,1500.398464,0.8563,1060
59.0,500.000992,1500.398464,0.8563,1062
59.0,200.008304,750.146496,0.8563,1064
57.0,200.008304,600.117184,0.835,1066
59.0,499.987808,1500.398464,0.8563,1068
59.0,500.000992,1500.398464,0.8563,1070
58.0,500.000992,1500.345728,0.8563,1072
58.0,500.000992,1500.345728,0.8563,1074
59.0,500.000992,1500.345728,0.8563,1076
58.0,250.000496,750.146496,0.8563,1078
58.0,500.000992,1500.345728,0.8563,1080
59.0,500.000992,1500.398464,0.8563,1082
57.0,200.008304,750.146496,0.8563,1084
58.0,199.99512,600.16992,0.835,1086
58.0,199.99512,600.117184,0.835,1088
58.0,499.987808,1500.345728,0.8563,1090
58.0,500.000992,1500.398464,0.8563,1092
58.0,199.99512,600.16992,0.835,1094
59.0,500.000992,1500.398464,0.8563,1096
59.0,500.000992,1500.398464,0.8563,1098
59.0,199.99512,600.117184,0.835,1100
59.0,500.000992,1500.398464,0.8563,1102
59.0,500.000992,1500.345728,0.8563,1104
58.0,199.99512,600.117184,0.835,1106
58.0,199.99512,600.117184,0.8563,1108
58.0,199.99512,600.117184,0.8563,1110
57.0,199.99512,600.16992,0.835,1112
57.0,199.99512,600.16992,0.835,1114
59.0,500.000992,1500.398464,0.8563,1116
59.0,500.000992,1500.398464,0.8563,1118
57.0,199.99512,600.117184,0.835,1120
58.0,500.000992,1500.345728,0.8563,1122
58.0,500.000992,1500.345728,0.8563,1124
58.0,199.99512,600.16992,0.8563,1126
58.0,199.99512,600.16992,0.835,1128
58.0,499.987808,1500.345728,0.8563,1130
58.0,500.000992,1500.345728,0.8563,1132
58.0,199.99512,600.117184,0.835,1134
59.0,500.000992,1500.398464,0.8563,1136
58.0,500.000992,1500.398464,0.8563,1138
57.0,199.99512,600.117184,0.835,1140
58.0,500.000992,1500.398464,0.8563,1142
